title,name,description,type,format,comments,examples,namespace,iri,constraints
SurveyTarget,isSurveyTargetFullyReported,"A declaration of whether the counts for the instance of the SurveyTarget report everything that matches the declared SurveyTarget. If they do, this enables inference of absence of detection for everything in that SurveyTarget that is included but that does not appear in the count.",boolean,default,,`true`; `false`,gum,,
ChronometricAge,chronometricAgeID,An identifier for the set of information associated with a chrono:ChronometricAge.,string,default,Recommended best practice is to use a globally unique identifier.,`https://www.canadianarchaeology.ca/samples/70673`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeID,"{'required': True, 'unique': True}"
ChronometricAge,gatheringEventID,An identifier for a GatheringEvent in which a dwc:MaterialEntity was collected.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,http://rs.tdwg.org/dwc/terms/eventID,
ChronometricAge,verbatimChronometricAge,"The verbatim age for a dwc:Event, whether reported by a dating assay, associated references, or legacy information.",string,default,"For example, this could be the radiocarbon age as given in an AMS dating report. This could also be simply what is reported as the age of a specimen in legacy collections data.",`27 BC to 14 AD`; `stratigraphically pre-1104`,chrono,http://rs.tdwg.org/chrono/terms/verbatimChronometricAge,
ChronometricAge,chronometricAgeProtocol,A description of or reference to the methods used to determine a chrono:ChronometricAge.,string,default,,`radiocarbon AMS`; `K-Ar dates for the lower most marker tuff`; `historic documentation`; `ceramic seriation`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeProtocol,
ChronometricAge,uncalibratedChronometricAge,The output of a dating assay before it is calibrated into an age using a specific conversion protocol.,string,default,,`1510 +/- 25 14C yr BP`; `16.26 Ma +/- 0.016`,chrono,http://rs.tdwg.org/chrono/terms/uncalibratedChronometricAge,
ChronometricAge,chronometricAgeConversionProtocol,"The method used for converting the chrono:uncalibratedChronometricAge into a chronometric age in years, as captured in the chrono:earliestChronometricAge, chrono:earliestChronometricAgeReferenceSystem, chrono:latestChronometricAge, and chrono:latestChronometricAgeReferenceSystem fields.",string,default,"For example, calibration of conventional radiocarbon age or the currently accepted age range of a cultural or geological period.",`INTCAL13`; `sequential 6 phase Bayesian model and IntCal13 calibration`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeConversionProtocol,
ChronometricAge,earliestChronometricAge,The maximum/earliest/oldest possible age of a specimen as determined by a dating method.,string,default,"The expected unit for this field is years. This field, if populated, must have an associated chrono:earliestChronometricAgeReferenceSystem.",`100`,chrono,http://rs.tdwg.org/chrono/terms/earliestChronometricAge,
ChronometricAge,earliestChronometricAgeReferenceSystem,The reference system associated with the chrono:earliestChronometricAge.,string,default,Recommended best practice is to use a controlled vocabulary.,`kya`; `mya`; `BP`; `AD`; `BCE`; `ka`; `Ma`; `Ga`,chrono,http://rs.tdwg.org/chrono/terms/earliestChronometricAgeReferenceSystem,
ChronometricAge,latestChronometricAge,The minimum/latest/youngest possible age of a specimen as determined by a dating method.,string,default,"The expected unit for this field is years. This field, if populated, must have an associated latestChronometricAgeReferenceSystem.",`27`,chrono,http://rs.tdwg.org/chrono/terms/latestChronometricAge,
ChronometricAge,latestChronometricAgeReferenceSystem,The reference system associated with the chrono:latestChronometricAge.,string,default,Recommended best practice is to use a controlled vocabulary.,`kya`; `mya`; `BP`; `AD`; `BCE`; `ka`; `Ma`; `Ga`,chrono,http://rs.tdwg.org/chrono/terms/latestChronometricAgeReferenceSystem,
ChronometricAge,chronometricAgeUncertaintyInYears,The temporal uncertainty of the chrono:earliestChronometricAge and chrono:latestChronometicAge in years.,integer,default,The expected unit for this field is years. The value in this field is number of years before and after the values given in the earliest and latest chronometric age fields within which the actual values are estimated to be.,`100`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeUncertaintyInYears,
ChronometricAge,chronometricAgeUncertaintyMethod,The method used to generate the value of chrono:ChronometricAgeUncertaintyInYears.,string,default,,`2-sigma calibrated range`; `Half of 95% confidence interval`,,http://rs.tdwg.org/chrono/terms/chronometricAgeUncertaintyMethod,
ChronometricAge,materialDated,"A description of the material on which the chrono:ChronometricAgeProtocol was actually performed, if known.",string,default,,`Double Tuff`; `Charcoal found in Stratum V`; `charred wood`; `tooth`,chrono,http://rs.tdwg.org/chrono/terms/materialDated,
ChronometricAge,materialDatedID,"An identifier for the MaterialEntity on which the chrono:ChronometricAgeProtocol was performed, if applicable.",string,default,,`https://www.ebi.ac.uk/metagenomics/samples/SRS1930158`,chrono,http://rs.tdwg.org/chrono/terms/materialDatedID,
ChronometricAge,materialDatedRelationship,"The relationship of the chrono:materialDated to a dwc:MaterialEntity, from which the chrono:ChronometricAge of the related dwc:MaterialEntity and any related dwc:Occurrence is inferred.",string,default,Recommended best practice is to use a controlled vocabulary.,"`sameAs` (cases where the subject material was completely destructively subsampled to get the chrono:ChronometricAge); `subsampleOf` (cases where part of the original MaterialEntity was extracted as the material used to determine the chrono:ChronometricAge); `inContextWith` (cases where the chrono:ChronometricAge is inferred from materialDated, such as sediments or cultural objects, in related temporal context); `stratigraphicallyCorrelatedWith` (cases where the chrono:ChronometricAge is inferred from materialDated in a stratigraphically correlated context)",chrono,http://rs.tdwg.org/chrono/terms/materialDatedRelationship,
ChronometricAge,chronometricAgeDeterminedBy,"A list (concatenated and separated) of names of people, groups, or organizations who determined the chrono:ChronometricAge.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space ( | ).,`Michelle LeFebvre | Neill Wallis`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeDeterminedBy,
ChronometricAge,chronometricAgeDeterminedByID,The identifier for the Agent that determined the chrono:ChronometricAge.,string,default,"Recommended best practice is to provide a single identifier that disambiguates the details of the acting agent. If a list is used, the order of the agents on the list should not be assumed to convey any semantics. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).",`https://orcid.org/0000-0002-1825-0097`,gum,,
ChronometricAge,chronometricAgeDeterminedDate,The date on which the chrono:ChronometricAge was determined.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 8:40am UTC); `2018-08-29T15:19` (3:19pm local time on 29 August 2018); `1809-02-12` (some time during 12 February 1809); `1906-06` (some time in June 1906); `1971` (some time in the year 1971).,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeDeterminedDate,
ChronometricAge,chronometricAgeReferences,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the chrono:ChronometricAge.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space ( | ).,"`Pluckhahn, Thomas J., Neill J. Wallis, and Victor D. Thompson. 2020 The History and Future of Migrationist Explanation in the Archaeology of the Eastern Woodlands: A Review and Case Study of the Woodland Period Gulf Coast. Journal of Archaeological Research. https://doi.org/10.1007/s10814-019-09140-x`",chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeReferences,
ChronometricAge,chronometricAgeRemarks,Comments or notes about a chrono:ChronometricAge.,string,default,,"`Beta Analytic number: 323913 | One of the Crassostrea virginica right valve specimens from North Midden Feature 17 was chosen for AMS dating, but it is unclear exactly which specimen it was.`",chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeRemarks,
Citation,citationID,An identifier for a Citation.,string,default,,,gum,,"{'required': True, 'unique': True}"
Citation,citationTargetID,An identifier for the target subject of a Citation.,string,default,,,gum,,
Citation,citationTargetType,The class of the target of a Citation.,string,default,,`ChronometricAge`; `Collection`; `Event`; `GeneticSequence`; `GeologicalContext`; `Identification`; `Material`; `Media`; `Occurrence`; `OrganismInteraction`,gum,,
Citation,citationType,The category that best matches the nature of a Citation.,string,default,,,gum,,
Citation,citationTypeIRI,The IRI of the controlled vocabulary value for the type of Citation.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,
Citation,citationTypeVocabulary,The reference to the controlled vocabulary where the definitions of values for citationType are given.,string,default,,,gum,,
Citation,bibliographicCitation,A bibliographic reference for the resource.,string,default,"From Dublin Core, 'Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.' The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself. Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource, if one is available.","`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Occurrence example); `https://www.gbif.org/species/2439608 Source: GBIF Taxonomic Backbone` (Taxon example); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475–488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Event example)",dcterms,http://purl.org/dc/terms/bibliographicCitation,
Citation,pageNumber,The number of the page on which the citation occurs in the cited reference.,string,default,"From Dublin Core, 'Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.' The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself. Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource, if one is available.","`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Occurrence example); `https://www.gbif.org/species/2439608 Source: GBIF Taxonomic Backbone` (Taxon example); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475–488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Event example)",gum,,
Citation,referenceID,An identifier for the reference in which a Citation occurs.,string,default,,,gum,,
Citation,referenceType,The category that best matches the nature of a reference.,string,default,,`book`; `journal article`; `field notes`,gum,,
Citation,referenceTypeIRI,The IRI of the controlled vocabulary value for the type of reference.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,
Citation,referenceTypeVocabulary,The reference to the controlled vocabulary where the definitions of values for referenceType are given.,string,default,,,gum,,
Citation,referenceYear,The year the reference in a Citation was published.,integer,default,,`2024`,gum,,
Citation,isPeerReviewed,An indication of whether the reference for the Citation was peer reviewed.,boolean,default,,`true`; `false`,gum,,
Citation,citationRemarks,Comments or notes about a Citation.,string,default,,`true`; `false`,gum,,
AgentRole,agentRoleTargetID,An identifier for the target of an AgentRole.,string,default,,,gum,,"{'required': True, 'unique': False}"
AgentRole,agentRoleTargetType,The class of the target of an AgentRole.,string,default,Recommended best practice is to use a controlled vocabulary consisting of the classes of resources that can have an AgentRole.,`Agent`; `ChronometricAge`; `Collection`; `Event`; `GeneticSequence`; `Identification`; `Material`; `Media`; `Occurrence`; `OrganismInteraction`,gum,,"{'required': True, 'unique': False}"
AgentRole,agentRole,The category that best matches the nature of a role of an Agent.,string,default,Recommended best practice is to use a controlled vocabulary for the roles appropriate to the class of resource the AgentRole is related to.,`collector`; `preparator`; `organizer`; `author`; `creator`; `owner`; `observer`,gum,,
AgentRole,agentRoleIRI,The IRI of the controlled vocabulary value for the role of an Agent.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,
AgentRole,agentRoleVocabulary,The reference to the controlled vocabulary where the definitions of values for agentRole are given.,string,default,,,gum,,
AgentRole,agentRoleOrder,The numerical position of an AgentRole in a set of AgentRoles that have the same combination of agentRoleTargetID and agentRoleTargetType.,integer,default,"One could use agentRoleOrder to create an ordered list of collectors for a dwc:MaterialEntity, for example. The first would have agentRoleOrder=1, the second would have agentRoleOrder=2.",`1`; `2`; `3`,gum,,"{'required': False, 'minimum': 1}"
AgentRole,agentID,An identifier for an Agent.,string,default,,,gum,,
AgentRole,agentType,The category that best matches the type of an Agent.,string,default,,`person`; `group`; `organization`,gum,,
AgentRole,agentTypeIRI,The IRI of the controlled vocabulary value for the type of Agent.,string,default,,,gum,,
AgentRole,agentTypeVocabulary,The reference to the controlled vocabulary where the definitions of values for agentType are given.,string,default,,,gum,,
AgentRole,preferredAgentName,The name of an Agent preferred in searches and results.,string,default,,,gum,,
Agent,agentID,An identifier for an Agent.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,,"{'required': True, 'unique': True}"
Agent,agentType,The category that best matches the type of an Agent.,string,default,Recommended best practice is to use a controlled vocabulary.,`person`; `group`; `organization`,gum,,
Agent,agentTypeIRI,The IRI of the controlled vocabulary value for the type of Agent.,string,default,,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,gum,,
Agent,agentTypeVocabulary,The reference to the controlled vocabulary where the definitions of values for agentType are given.,string,default,,,gum,,
Agent,preferredAgentName,The name of an Agent preferred in searches and results.,string,default,,,gum,,
Event,eventID,An identifier for the set of information associated with a dwc:Event (something that occurs at a place and time).,string,default,Recommended best practice is to use a globally unique identifier.,,gum,http://rs.tdwg.org/dwc/terms/eventID,"{'required': True, 'unique': True}"
Event,parentEventID,An identifier for a broader dwc:Event that groups this and potentially other dwc:Events.,string,default,,,dwc,http://rs.tdwg.org/dwc/terms/parentEventID,
Event,preferredEventName,The name of a dwc:Event preferred in searches and results.,string,default,,,gum,,
Event,eventType,The category that best matches the nature of a dwc:Event.,string,default,Recommended best practice is to use a controlled vocabulary.,`MaterialGathering`; `Occurrence`; `Inventory`; `SiteVisit`; `OrganismInteraction`; `CameraTrapDeployment`; `MediaCapture`,dwc,http://rs.tdwg.org/dwc/terms/eventType,
Event,eventTypeIRI,The IRI of the controlled vocabulary value for the type of dwc:Event.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,dwciri,http://rs.tdwg.org/dwc/iri/eventType,
Event,eventTypeVocabulary,The reference to the controlled vocabulary where the definitions of values for dwc:eventType are given.,string,default,,,gum,,
Event,recordedBy,The name of the Agent who recorded a dwc:Event in the field.,string,default,,`José E. Crespo`; `Oliver P. Pearson | Anita K. Pearson` (where the value in recordNumber `OPP 7101` corresponds to the collector number for the specimen in the field catalog of Oliver P. Pearson),dwc,http://rs.tdwg.org/dwc/terms/recordedBy,
Event,recordedByID,An identifier for the Agent who recorded a dwc:Event in the field.,string,default,Recommended best practice is to use a globally unique identifier.,`https://orcid.org/0000-0002-1825-0097` (for an individual); `https://orcid.org/0000-0002-1825-0097 | https://orcid.org/0000-0002-1825-0098` (for a list of people),dwc,http://rs.tdwg.org/dwc/terms/recordedByID,
Event,eventDate,The date or time interval during which a dwc:Event occurred.,string,default,"For gathering dwc:Events, this is the date-time when the gathering took place.",`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 8:40am UTC); `2018-08-29T15:19` (3:19pm local time on 29 August 2018); `1809-02-12` (some time during 12 February 1809); `1906-06` (some time in June 1906); `1971` (some time in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC); `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909); `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007),dwc,http://rs.tdwg.org/dwc/terms/eventDate,
Event,eventTime,The time or interval during which a dwc:Event occurred.,string,default,Recommended best practice is to use a time of day that conforms to ISO 8601-1:2019.,`14:07-0600` (2:07pm in the time zone six hours earlier than UTC); `08:40:21Z` (8:40:21am UTC); `13:00:00Z/15:30:00Z` (the interval between 1pm UTC and 3:30pm UTC),dwc,http://rs.tdwg.org/dwc/terms/eventTime,
Event,startDayOfYear,"The earliest integer day of the year on which a dwc:Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366).",integer,default,,"`1` (1 January); `32` (1 February); `366` (31 December); `365` (30 December in a leap year, 31 December in a non-leap year)",dwc,http://rs.tdwg.org/dwc/terms/startDayOfYear,"{'required': False, 'minimum': 1, 'maximum': 366}"
Event,endDayOfYear,"The latest integer day of the year on which a dwc:Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366).",integer,default,,"`1` (1 January); `32` (1 February); `366` (31 December); `365` (30 December in a leap year, 31 December in a non-leap year)",dwc,http://rs.tdwg.org/dwc/terms/endDayOfYear,"{'required': False, 'minimum': 1, 'maximum': 366}"
Event,year,"The four-digit year in which a dwc:Event occurred, according to the Common Era Calendar.",integer,default,,`1160`; `2008`,dwc,http://rs.tdwg.org/dwc/terms/year,
Event,month,The integer month in which a dwc:Event occurred.,integer,default,,`1` (January); `10` (October),dwc,http://rs.tdwg.org/dwc/terms/month,"{'required': False, 'minimum': 1, 'maximum': 12}"
Event,day,The integer day of the month on which a dwc:Event occurred.,integer,default,,`9`; `28`,dwc,http://rs.tdwg.org/dwc/terms/day,"{'required': False, 'minimum': 1, 'maximum': 31}"
Event,verbatimEventDate,The verbatim original representation of the date and time information for a dwc:Event.,string,default,,`spring 1910`; `Marzo 2002`; `1999-03-XX`; `17IV1934`,dwc,http://rs.tdwg.org/dwc/terms/verbatimEventDate,
Event,verbatimLocality,The original textual description of a dcterms:Location of a dwc:Event.,string,default,,`25 km NNE Bariloche por R. Nac. 237`,dwc,http://rs.tdwg.org/dwc/terms/verbatimLocality,
Event,verbatimElevation,"The original description of the elevation (altitude, usually above sea level) of a dcterms:Location.",string,default,,`100-200 m`,dwc,http://rs.tdwg.org/dwc/terms/verbatimElevation,
Event,verbatimDepth,The original description of the depth below a local surface.,string,default,,`100-200 m`,dwc,http://rs.tdwg.org/dwc/terms/verbatimDepth,
Event,verbatimCoordinates,The verbatim original spatial coordinates of a dcterms:Location.,string,default,"The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.",`41 05 54S 121 05 34W`; `17T 630000 4833400`,dwc,http://rs.tdwg.org/dwc/terms/verbatimCoordinates,
Event,verbatimLatitude,The verbatim original latitude of a dcterms:Location.,string,default,"The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.",`41 05 54.03S`,dwc,http://rs.tdwg.org/dwc/terms/verbatimLatitude,
Event,verbatimLongitude,The verbatim original longitude of a dcterms:Location.,string,default,"The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.",`121d 10' 34 W`,dwc,http://rs.tdwg.org/dwc/terms/verbatimLongitude,
Event,verbatimCoordinateSystem,The coordinate format for the dwc:verbatimLatitude and dwc:verbatimLongitude or the dwc:verbatimCoordinates of a dcterms:Location.,string,default,Recommended best practice is to use a controlled vocabulary.,`decimal degrees`; `degrees decimal minutes`; `degrees minutes seconds`; `UTM`,dwc,http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem,
Event,verbatimSRS,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in dwc:verbatimLatitude and dwc:verbatimLongitude, or dwc:verbatimCoordinates are based.",string,default,"Recommended best practice is to use the EPSG code of the SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value `unknown`.",`unknown`; `EPSG:4326`; `WGS84`; `NAD27`; `Campo Inchauspe`; `European 1950`; `Clarke 1866`,dwc,http://rs.tdwg.org/dwc/terms/verbatimSRS,
Event,georeferenceVerificationStatus,A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description for the dcterms:Location of a dwc:Occurrence.,string,default,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`unable to georeference`; `requires georeference`; `requires verification`; `verified by data custodian`; `verified by contributor`,dwc,http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus,
Event,habitat,A category or description of the habitat in which an Event occurred.,string,default,,`oak savanna`; `pre-cordilleran steppe`,dwc,http://rs.tdwg.org/dwc/terms/habitat,
Event,protocolName,The name of a method or protocol used during a dwc:Event.,string,default,,,gum,,
Event,protocolDescription,"The names of, references to, or descriptions of the methods or protocols used during a dwc:Event.",string,default,"Recommended best practice is describe a dwc:Event with no more than one sampling protocol. In the case of a summary Event with multiple protocols, in which a specific protocol can not be attributed to specific child Events, the recommended best practice is to separate the values in a list with space vertical bar space (` | `).","`UV light trap`; `mist net`; `bottom trawl`; `ad hoc observation | point count`; `Penguins from space: faecal stains reveal the location of emperor penguin colonies, https://doi.org/10.1111/j.1466-8238.2009.00467.x`; `Takats et al. 2001. Guidelines for Nocturnal Owl Monitoring in North America. Beaverhill Bird Observatory and Bird Studies Canada, Edmonton, Alberta. 32 pp., http://www.bsc-eoc.org/download/Owl.pdf`",gum,,
Event,protocolIRI,The IRI leading to a protocolName and/or protocolDescription.,string,default,,,gum,,
Event,eventEffort,The amount of effort expended during a dwc:Event.,string,default,,`40 trap-nights`; `10 observer-hours`; `10 km by foot`; `30 km by car`,eco,http://rs.tdwg.org/eco/terms/eventEffort,
Event,fieldNotes,"One of a) an indicator of the existence of, b) a reference to (publication, URI), or c) the text of notes taken in the field about a dwc:Event.",string,default,,`Notes available in the Grinnell-Miller Library.`,dwc,http://rs.tdwg.org/dwc/terms/fieldNotes,
Event,eventCitation,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with a dwc:Event.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`http://www.sciencemag.org/cgi/content/abstract/322/5899/261`; `Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767.`; `Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources.`",gum,,
Event,eventRemarks,Comments or notes about a dwc:Event.,string,default,,`After the recent rains the river is nearly at flood stage.`,dwc,http://rs.tdwg.org/dwc/terms/eventRemarks,
Event,locationID,An identifier for the set of location information (data associated with dcterms:Location).,string,default,Recommended best practice is to use a globally unique identifier.,`https://opencontext.org/subjects/768A875F-E205-4D0B-DE55-BAB7598D0FD1`,dwc,http://rs.tdwg.org/dwc/terms/locationID,
